item_hash,format,prompt,reference,human_difficulty,llm_difficulty,llama3.2_1b_response,llama3.2_1b_overlap,llama3.2_1b_error,llama3.2_3b_response,llama3.2_3b_overlap,llama3.2_3b_error,qwen3.5_2B_response,qwen3.5_2B_overlap,qwen3.5_2B_error,phi4-mini_3.8b_response,phi4-mini_3.8b_overlap,phi4-mini_3.8b_error,gemma4_e2b_response,gemma4_e2b_overlap,gemma4_e2b_error
0eccce6a6357d81b,reverse_tap,¿Cuál es la suma?,what is the sum,0.0,0.0,What is the sum?,1.0,0.0,What is the sum?,1.0,0.0,What is the sum?,1.0,0.0,What is the sum?,1.0,0.0,What is the sum?,1.0,0.0
e7506767d3035bd3,reverse_tap,Tú lo sientes mucho.,you are very sorry,0.05,0.65,You feel it very much.,0.5,0.5,You feel it very much.,0.5,0.5,You feel it a lot.,0.25,0.75,You feel it a lot.,0.25,0.75,You feel it a lot.,0.25,0.75
80d92b29e3d8556d,reverse_tap,¡Duerme!,sleep,0.19297325642370214,0.0,Sleep!,1.0,0.0,Sleep!,1.0,0.0,Sleep!,1.0,0.0,Sleep!,1.0,0.0,Sleep!,1.0,0.0
5412cbc0de083d93,reverse_tap,Es un buen día para comer.,it is a good day to eat,0.10204081632653061,0.34285714285714286,It's a good day to eat.,0.7142857142857143,0.2857142857142857,It's a good day to eat.,0.7142857142857143,0.2857142857142857,It's a good day for eating.,0.42857142857142855,0.5714285714285714,It's a good day for eating.,0.42857142857142855,0.5714285714285714,It is a good day to eat.,1.0,0.0
f5c28f7c9f97dac5,reverse_tap,¿A dónde va tu taxi?,where is your taxi going,0.25333333333333335,0.11999999999999997,Where is your taxi?,0.8,0.19999999999999996,Where is your taxi?,0.8,0.19999999999999996,Where is your taxi going?,1.0,0.0,Where is your cab going?,0.8,0.19999999999999996,Where is your taxi going?,1.0,0.0
f8f646326b29ea73,reverse_tap,¿Quién es el próximo?,who is next,0.06556245686680469,0.13333333333333336,Who's next?,0.3333333333333333,0.6666666666666667,Who is next?,1.0,0.0,Who is next?,1.0,0.0,Who is next?,1.0,0.0,Who is next?,1.0,0.0
320c0756f6d41462,reverse_tap,De nada.,you are very welcome,0.5833333333333334,0.8,No problem.,0.0,1.0,You're welcome.,0.25,0.75,You're welcome.,0.25,0.75,You're welcome.,0.25,0.75,You're welcome.,0.25,0.75
e07a9995cfd1b60f,reverse_tap,Necesito dos aplicaciones.,i need two applications,0.07142857142857142,0.05,"I cannot translate this text as it is asking for two applications. Can you please provide more context or clarify what you mean by ""applications""?",0.75,0.25,I need two applications.,1.0,0.0,I need two applications.,1.0,0.0,I need two applications.,1.0,0.0,I need two applications.,1.0,0.0
b50eb2f1d4711b83,reverse_tap,Yo llevo puesta una camisa.,i am wearing a shirt,0.12,0.16,I'm wearing a shirt.,0.6,0.4,I am wearing a shirt.,1.0,0.0,I'm wearing a shirt.,0.6,0.4,I am wearing a shirt.,1.0,0.0,I am wearing a shirt.,1.0,0.0
6aa832df1529b431,reverse_tap,¿Tienes novia?,do you have a girlfriend,0.12413793103448276,0.0,Do you have a girlfriend?,1.0,0.0,Do you have a girlfriend?,1.0,0.0,Do you have a girlfriend?,1.0,0.0,Do you have a girlfriend?,1.0,0.0,Do you have a girlfriend?,1.0,0.0
c82b325a14e0267f,reverse_tap,"Hola, ¿eres de España?",hello are you from spain,0.13333333333333333,0.0,"Hello, are you from Spain?",1.0,0.0,"Hello, are you from Spain?",1.0,0.0,"Hello, are you from Spain?",1.0,0.0,"Hello, are you from Spain?",1.0,0.0,"Hello, are you from Spain?",1.0,0.0
5cbba012143486f4,reverse_tap,Necesito escribir un libro.,i need to write a book,0.16666666666666666,0.0,"I couldn't find any information on a specific Spanish phrase that translates directly to ""Necesito escribir un libro."" However, I can provide you with some possible translations:

* I need to write a book.
* I want to write a book.
* I have an idea for a book.

If you could provide more context or clarify what you mean by ""un libro,"" I may be",1.0,0.0,I need to write a book.,1.0,0.0,I need to write a book.,1.0,0.0,I need to write a book.,1.0,0.0,I need to write a book.,1.0,0.0
1c49e200897418f7,reverse_tap,¿Te gusta la mantequilla?,do you like butter,0.0625,0.0,Do you like butter?,1.0,0.0,Do you like butter?,1.0,0.0,Do you like butter?,1.0,0.0,Do you like butter?,1.0,0.0,Do you like butter?,1.0,0.0
ba130abe528ff6a3,reverse_tap,Habíamos tomado el celular.,we had taken the cellphone,0.0,0.19999999999999996,We had taken the cell phone.,0.8,0.19999999999999996,We had taken the phone.,0.8,0.19999999999999996,We had taken the phone.,0.8,0.19999999999999996,We had taken the cell phone.,0.8,0.19999999999999996,We had taken the cell phone.,0.8,0.19999999999999996
5708006f69988c04,reverse_tap,Ella bebe agua.,she drinks water,0.06965174129353234,0.0,She drinks water.,1.0,0.0,She drinks water.,1.0,0.0,She drinks water.,1.0,0.0,She drinks water.,1.0,0.0,She drinks water.,1.0,0.0
